Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,2004,Pro,2021/08/10,19041.1165,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,20H2,Pro,2021/08/10,19041.1165,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,2004,Pro,2021/07/13,19041.111,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,20H2,Pro,2021/07/13,19041.111,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,2004,Pro,2021/06/08,19041.1052,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,20H2,Pro,2021/06/08,19041.1052,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/07/14,18363.959,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/06/09,18363.9,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/05/12,18363.836,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/04/14,18363.778,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/03/12,18363.72,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/02/11,18363.657,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/01/14,18363.592,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2019/12/10,18363.535,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2019/10/05,18363.418,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2021/06/08,18363.1621,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2021/05/11,18363.1556,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2021/04/13,18363.15,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2021/03/09,18363.144,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2021/02/11,18363.1379,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2021/01/12,18363.1316,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/12/08,18363.1256,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/11/10,18363.1198,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,1909,Pro,2020/10/13,18363.1139,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
