Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2022/04/19,19042.1645,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2022/01/11,19042.1466,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2021/05/11,19041.985,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2021/05/11,19041.985,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2021/04/13,19041.928,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2021/04/13,19041.928,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2021/03/09,19041.867,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2021/03/09,19041.867,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2021/02/09,19041.804,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2021/02/09,19041.804,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2021/01/12,19041.746,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2021/01/12,19041.746,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/12/08,19041.685,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2020/12/08,19041.685,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,20H2,Pro,2020/11/19,19041.631,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/11/10,19041.63,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/10/13,19041.572,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/09/08,19041.508,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/08/11,19041.45,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/07/14,19041.388,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/06/09,19041.329,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,2004,Pro,2020/05/27,19041.264,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
